ambito_nombre,embalse_nombre,volumen_medio_10
Cantábrico Occidental,alfilorios,6.300738007380073
Cantábrico Occidental,alsa - mediajo,20.47970479704797
Cantábrico Occidental,arbón,35.98708487084871
Cantábrico Occidental,"barca, la",24.239852398523986
Cantábrico Occidental,"cohilla, la",5.049815498154982
Cantábrico Occidental,doiras,90.76014760147602
Cantábrico Occidental,rioseco,3.049382716049383
Cantábrico Occidental,salime,186.81918819188192
Cantábrico Occidental,somiedo (lagos),2.23
Cantábrico Occidental,tanes,28.494464944649447
Cantábrico Oriental,añarbe,31.223247232472325
Cantábrico Oriental,ibiur,6.645756457564576
Cantábrico Oriental,ordunte,18.166051660516604
Cantábrico Oriental,san antón,4.706642066420664
Cuenca Mediterránea Andaluza,benínar,8.138376383763838
Cuenca Mediterránea Andaluza,béznar,39.40959409594096
Cuenca Mediterránea Andaluza,casasola,11.79520295202952
Cuenca Mediterránea Andaluza,charco redondo,44.33210332103321
Cuenca Mediterránea Andaluza,concepción,44.079335793357934
Cuenca Mediterránea Andaluza,conde guadalhorce,42.21955719557196
Cuenca Mediterránea Andaluza,cuevas de almanzora,19.562730627306273
Cuenca Mediterránea Andaluza,guadalhorce-guadalteba,197.26383763837637
Cuenca Mediterránea Andaluza,guadarranque,55.76383763837639
Cuenca Mediterránea Andaluza,limonero,10.861623616236162
Cuenca Mediterránea Andaluza,rules,82.42988929889299
Cuenca Mediterránea Andaluza,"viñuela, la",84.0129151291513
Cuencas Internas de Cataluña,boadella,39.53690036900369
Cuencas Internas de Cataluña,catllar,2.090909090909091
Cuencas Internas de Cataluña,la baells,88.68819188191883
Cuencas Internas de Cataluña,la llosa del cavall,64.4280442804428
Cuencas Internas de Cataluña,riudecanyes,2.485239852398524
Cuencas Internas de Cataluña,sant pons,22.30811808118081
Cuencas Internas de Cataluña,sau,116.880073800738
Cuencas Internas de Cataluña,susqueda,184.6771217712177
Cuencas Internas del País Vasco,ibai-eder,9.011070110701107
Cuencas Internas del País Vasco,urkulu,8.470479704797048
Duero,"agavanzal, nª sª de",29.916974169741696
Duero,aguilar,135.3560885608856
Duero,aldeadávila,107.14944649446494
Duero,almendra,1704.3136531365315
Duero,arlanzón,17.56088560885609
Duero,barrios de luna,176.0590405904059
Duero,burgomillodo,10.153136531365314
Duero,camporredondo,36.92988929889299
Duero,casares de arbas,23.173431734317344
Duero,castro,24.361623616236162
Duero,castro de las cogotas,33.29520295202952
Duero,cernadilla,120.30627306273063
Duero,cervera,6.178966789667896
Duero,compuerto,54.56642066420664
Duero,cuerda del pozo,165.09409594095942
Duero,linares del arroyo,34.15129151291513
Duero,"pontón alto, el",6.199261992619927
Duero,porma-(juan benet),190.05535055350555
Duero,puente porto,6.243542435424354
Duero,requejada,31.149446494464943
Duero,riaño,408.43173431734317
Duero,ricobayo,635.0848708487085
Duero,rábanos,8.0
Duero,san josé,6.0
Duero,santa teresa,337.8948339483395
Duero,saucelle,175.94280442804427
Duero,serones,3.876383763837638
Duero,valparaíso,151.7952029520295
Duero,"vencías, las",4.6642066420664205
Duero,villagonzalo,6.0
Duero,villalcampo,61.59040590405904
Duero,villameca,10.85239852398524
Duero,águeda,13.603321033210332
Duero,úzquiza,48.49815498154982
Ebro,albiña,3.6014760147601477
Ebro,alcañiz (estanca),5.084870848708487
Ebro,alloz,41.91881918819188
Ebro,barasona,59.17158671586716
Ebro,baserca,12.691881918819188
Ebro,búbal,32.32841328413284
Ebro,calanda,31.079335793357934
Ebro,camarasa,95.70664206642067
Ebro,canelles,445.76014760147604
Ebro,caspe,42.81180811808118
Ebro,cavallers,9.653136531365314
Ebro,certescáns,11.97970479704797
Ebro,ciurana,7.885608856088561
Ebro,cueva foradada,14.134686346863468
Ebro,ebro,368.8708487084871
Ebro,enciso,24.32941176470588
Ebro,escales,109.9649446494465
Ebro,eúgui,15.99630996309963
Ebro,gonzález lacasa,19.566420664206642
Ebro,"grado, el",345.22878228782287
Ebro,guiamets,5.343173431734317
Ebro,ip,2.6531365313653135
Ebro,irabia,8.789667896678967
Ebro,itoiz,252.47970479704796
Ebro,lanuza,9.498154981549815
Ebro,las fitas,6.962809917355372
Ebro,laverné,26.25206611570248
Ebro,lechago,9.823529411764707
Ebro,llauset,11.044280442804428
Ebro,loteta (la),36.586715867158674
Ebro,maidevera,12.285977859778598
Ebro,mansilla,42.83394833948339
Ebro,mediano,256.48339483394835
Ebro,mequinenza,1191.018450184502
Ebro,moneva,2.488929889298893
Ebro,monteagudo,4.527675276752768
Ebro,montearagón,11.705882352941176
Ebro,nagore,4.694117647058824
Ebro,oliana,58.343173431734314
Ebro,pajares,19.380073800738007
Ebro,parras (las),4.0
Ebro,pena,12.326568265682656
Ebro,"peña, la",11.525830258302584
Ebro,puente de santolea,14.698347107438016
Ebro,rialb,284.309963099631
Ebro,ribarroja,201.30442804428046
Ebro,sallente,1.9612546125461254
Ebro,san bartolomé,1.8099630996309963
Ebro,san lorenzo,9.0
Ebro,san salvador,120.89411764705882
Ebro,santa ana,150.22878228782287
Ebro,santa maría de belsué,1.8929889298892988
Ebro,santolea,27.59040590405904
Ebro,sistema aguas limpias,8.559040590405903
Ebro,sistema alto caldarés,7.357933579335794
Ebro,sistema capdella,30.0
Ebro,sistema escarra,2.918819188191882
Ebro,sistema lagos espot,8.924354243542435
Ebro,sistema valle de arán,11.891143911439114
Ebro,sobrón,17.61070110701107
Ebro,sotonera,134.71033210332104
Ebro,terradets,26.088560885608857
Ebro,terroba,1.0
Ebro,"torcas, las",4.090405904059041
Ebro,"tranquera, la",49.343173431734314
Ebro,tremp ó talárn,146.53136531365314
Ebro,ullivarri,114.31180811808117
Ebro,urdalur,4.398523985239852
Ebro,urdiceto,1.992619926199262
Ebro,urrunaga,51.17158671586716
Ebro,vadiello,10.916974169741698
Ebro,"val, el",17.824723247232473
Ebro,valdepatao,0.9529411764705882
Ebro,yesa,282.84132841328415
Galicia Costa,barrie de la maza,15.444649446494465
Galicia Costa,cecebre,15.136531365313653
Galicia Costa,eiras,19.26568265682657
Galicia Costa,eume,102.72878228782288
Galicia Costa,fervenza,62.78044280442804
Galicia Costa,"forcadas, as",8.636531365313653
Galicia Costa,portodemouros,215.93542435424354
Galicia Costa,"ribeira, a",25.784132841328415
Galicia Costa,riocobo,4.125461254612546
Galicia Costa,sta uxia,13.821033210332104
Galicia Costa,villagudín,14.6309963099631
Guadalete-Barbate,almodóvar,3.525830258302583
Guadalete-Barbate,arcos de la frontera,13.25830258302583
Guadalete-Barbate,barbate,127.10885608856088
Guadalete-Barbate,bornos,100.36162361623616
Guadalete-Barbate,celemín,25.105166051660518
Guadalete-Barbate,guadalcacín ii,489.01660516605165
Guadalete-Barbate,"hurones, los",89.52029520295203
Guadalete-Barbate,zahara-el gastor,161.73247232472326
Guadalquivir,agrio (aznalcollar),13.72140221402214
Guadalquivir,aguascebas,4.642066420664206
Guadalquivir,alcalá del río,17.0
Guadalquivir,aracena,91.47970479704797
Guadalquivir,arenoso,83.05535055350553
Guadalquivir,bembézar,209.12730627306274
Guadalquivir,bermejales,61.7140221402214
Guadalquivir,"bolera, la",26.178966789667896
Guadalquivir,"breña ii, la",424.38376383763836
Guadalquivir,cala,28.642066420664207
Guadalquivir,canales,45.92250922509225
Guadalquivir,cantillana,14.0
Guadalquivir,"carpio, el",17.307692307692307
Guadalquivir,colomera,23.09040590405904
Guadalquivir,cordobilla,33.0
Guadalquivir,cubillas,12.361623616236162
Guadalquivir,derivación retortillo,3.9615384615384617
Guadalquivir,doña aldonza,23.0
Guadalquivir,el portillo,27.518450184501845
Guadalquivir,encinarejo,12.23076923076923
Guadalquivir,"fernandina, la",135.73616236162363
Guadalquivir,francisco abellán,30.092250922509226
Guadalquivir,fresneda,8.84870848708487
Guadalquivir,gergal,28.570110701107012
Guadalquivir,giribaile,221.1328413284133
Guadalquivir,guadalmellato,94.11439114391143
Guadalquivir,guadalmena,211.0110701107011
Guadalquivir,guadalén,87.23062730627306
Guadalquivir,hornachuelos,11.538461538461538
Guadalquivir,huesna,96.119926199262
Guadalquivir,iznájar,552.8081180811809
Guadalquivir,josé torán,65.2140221402214
Guadalquivir,jándula,168.84132841328415
Guadalquivir,malpasillo ( jauja ),6.0
Guadalquivir,marmolejo,9.153846153846153
Guadalquivir,martín gonzalo,12.378228782287822
Guadalquivir,"melonares, los",157.83579335793357
Guadalquivir,"minilla, la",44.404059040590404
Guadalquivir,montoro,79.23062730627306
Guadalquivir,negratín,303.359778597786
Guadalquivir,pedro marín,18.384615384615383
Guadalquivir,"pintado, el",144.03136531365314
Guadalquivir,puebla de cazalla,29.328413284132843
Guadalquivir,puente nuevo,152.3118081180812
Guadalquivir,quiebrajano,17.952029520295202
Guadalquivir,quéntar,9.84870848708487
Guadalquivir,retortillo,39.488929889298895
Guadalquivir,rumblar,70.56088560885608
Guadalquivir,san clemente,21.870848708487085
Guadalquivir,san rafael de navallana,83.77859778597787
Guadalquivir,sierra boyera,26.512915129151292
Guadalquivir,siles,21.312925170068027
Guadalquivir,torre del águila,21.077490774907748
Guadalquivir,tranco de beas,302.0959409594096
Guadalquivir,vadomojón,88.88929889298893
Guadalquivir,víboras,9.250922509225092
Guadalquivir,yeguas,122.92435424354244
Guadalquivir,zocueca,1.0
Guadalquivir,zufre,133.22693726937268
Guadiana,"aguijón, el",9.863468634686347
Guadiana,alange,424.76937269372695
Guadiana,alcollarín,13.272727272727273
Guadiana,andévalo,466.6005025125628
Guadiana,boquerón,4.5
Guadiana,brovales,5.4206642066420665
Guadiana,búrdalo,14.969696969696969
Guadiana,canchales,17.854243542435423
Guadiana,cancho del fresno,11.029520295202952
Guadiana,castilseras,4.425992779783393
Guadiana,chanza,197.8690036900369
Guadiana,cijara,795.2749077490774
Guadiana,cornalbo,1.1642066420664208
Guadiana,cubilar,3.819188191881919
Guadiana,el vicario,14.974169741697416
Guadiana,garcía de sola,312.2472324723247
Guadiana,gargáligas,14.525830258302584
Guadiana,gasset,17.863468634686345
Guadiana,horno tejero,20.79520295202952
Guadiana,la cabezuela,23.522140221402214
Guadiana,la serena,1772.8856088560885
Guadiana,llerena,7.239852398523985
Guadiana,los molinos,28.756457564575644
Guadiana,montijo,9.81549815498155
Guadiana,nogales,12.511070110701107
Guadiana,orellana,581.5590405904059
Guadiana,peñarroya,39.71955719557196
Guadiana,piedra aguda,10.763837638376383
Guadiana,proserpina,4.049815498154982
Guadiana,pto. vallehermoso,5.354243542435424
Guadiana,ruecas,30.2380073800738
Guadiana,sierra brava,150.45940959409594
Guadiana,tentudia,3.3339483394833946
Guadiana,torre de abrahán,73.93542435424354
Guadiana,valuengo,14.881918819188192
Guadiana,vega del jabalón,16.29520295202952
Guadiana,villalba de los barros,77.63636363636364
Guadiana,villar del rey,89.61439114391143
Guadiana,zújar,242.760147601476
Júcar,alarcón,562.5848708487085
Júcar,algar,0.1992619926199262
Júcar,amadorio,6.828413284132841
Júcar,arenós,58.02767527675277
Júcar,arquillo de san blas,15.01660516605166
Júcar,bellús,12.398523985239853
Júcar,benagéber,116.82472324723247
Júcar,beniarrés,14.44280442804428
Júcar,buseo,3.208487084870849
Júcar,contreras,234.28966789667896
