cuenca_hidrografica,embalse_nombre,volumen_medio_10
Cantábrico Occidental,Alfilorios,6.258620689655173
Cantábrico Occidental,Alsa - Mediajo,20.446360153256705
Cantábrico Occidental,Arbón,35.94827586206897
Cantábrico Occidental,"Barca, La",24.38314176245211
Cantábrico Occidental,"Cohilla, La",5.019157088122605
Cantábrico Occidental,Doiras,91.1800766283525
Cantábrico Occidental,Rioseco,3.0403587443946187
Cantábrico Occidental,Salime,189.21264367816093
Cantábrico Occidental,Somiedo (Lagos),2.23
Cantábrico Occidental,Tanes,28.54022988505747
Cantábrico Oriental,Añarbe,31.264367816091955
Cantábrico Oriental,Ibiur,6.603448275862069
Cantábrico Oriental,Ordunte,18.04022988505747
Cantábrico Oriental,San Antón,4.695402298850575
Cuenca Mediterránea Andaluza,Benínar,8.159003831417625
Cuenca Mediterránea Andaluza,Béznar,39.519157088122604
Cuenca Mediterránea Andaluza,Casasola,11.82567049808429
Cuenca Mediterránea Andaluza,Charco Redondo,45.093869731800766
Cuenca Mediterránea Andaluza,Concepción,44.308429118773944
Cuenca Mediterránea Andaluza,Conde Guadalhorce,42.49616858237548
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,19.519157088122604
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,199.9176245210728
Cuenca Mediterránea Andaluza,Guadarranque,56.45402298850575
Cuenca Mediterránea Andaluza,Limonero,10.865900383141762
Cuenca Mediterránea Andaluza,Rules,83.18773946360153
Cuenca Mediterránea Andaluza,"Viñuela, La",86.22030651340997
Cuencas Internas de Cataluña,Boadella,39.8544061302682
Cuencas Internas de Cataluña,Catllar,2.090909090909091
Cuencas Internas de Cataluña,La Baells,89.78352490421456
Cuencas Internas de Cataluña,La Llosa del Cavall,65.33524904214559
Cuencas Internas de Cataluña,Riudecanyes,2.5421455938697317
Cuencas Internas de Cataluña,Sant Pons,22.444444444444443
Cuencas Internas de Cataluña,Sau,118.02873563218391
Cuencas Internas de Cataluña,Susqueda,186.06513409961687
Cuencas Internas del País Vasco,Ibai-Eder,8.950191570881225
Cuencas Internas del País Vasco,Urkulu,8.411877394636015
Duero,"Agavanzal, Nª Sª de",30.00191570881226
Duero,Aguilar,136.82950191570882
Duero,Aldeadávila,107.26819923371647
Duero,Almendra,1733.4827586206898
Duero,Arlanzón,17.461685823754788
Duero,Barrios de Luna,174.51724137931035
Duero,Burgomillodo,10.113026819923371
Duero,Camporredondo,36.92528735632184
Duero,Casares de Arbas,23.061302681992338
Duero,Castro,24.3639846743295
Duero,Castro de las Cogotas,32.804597701149426
Duero,Cernadilla,122.9176245210728
Duero,Cervera,6.216475095785441
Duero,Compuerto,54.63026819923372
Duero,Cuerda del Pozo,165.53065134099617
Duero,Linares del Arroyo,34.11302681992337
Duero,"Pontón Alto, El",6.168582375478927
Duero,Porma-(Juan Benet),187.61877394636016
Duero,Puente Porto,6.295019157088123
Duero,Requejada,31.028735632183906
Duero,Riaño,403.80268199233717
Duero,Ricobayo,643.5823754789272
Duero,Rábanos,8.0
Duero,San José,6.0
Duero,Santa Teresa,337.5977011494253
Duero,Saucelle,175.88888888888889
Duero,Serones,3.7950191570881224
Duero,Valparaíso,151.6743295019157
Duero,"Vencías, Las",4.689655172413793
Duero,Villagonzalo,6.0
Duero,Villalcampo,61.5727969348659
Duero,Villameca,10.879310344827585
Duero,Águeda,13.436781609195402
Duero,Úzquiza,48.576628352490424
Ebro,Albiña,3.5881226053639845
Ebro,Alcañiz (Estanca),5.055555555555555
Ebro,Alloz,41.46743295019157
Ebro,Barasona,58.8448275862069
Ebro,Baserca,12.982758620689655
Ebro,Búbal,32.03256704980843
Ebro,Calanda,30.93103448275862
Ebro,Camarasa,95.76819923371647
Ebro,Canelles,448.0287356321839
Ebro,Caspe,43.047892720306514
Ebro,Cavallers,9.869731800766283
Ebro,Certescáns,12.084291187739463
Ebro,Ciurana,8.03448275862069
Ebro,Cueva Foradada,13.875478927203066
Ebro,Ebro,368.7088122605364
Ebro,Enciso,21.06153846153846
Ebro,Escales,110.85057471264368
Ebro,Eúgui,15.969348659003831
Ebro,González Lacasa,19.3544061302682
Ebro,"Grado, El",343.72796934865903
Ebro,Guiamets,5.413793103448276
Ebro,Ip,2.7011494252873565
Ebro,Irabia,8.741379310344827
Ebro,Itoiz,248.90996168582376
Ebro,Lanuza,9.46551724137931
Ebro,Las Fitas,7.04954954954955
Ebro,Laverné,26.53153153153153
Ebro,Lechago,9.753846153846155
Ebro,Llauset,11.187739463601533
Ebro,Loteta (La),34.524904214559385
Ebro,Maidevera,12.187739463601533
Ebro,Mansilla,42.36973180076628
Ebro,Mediano,260.54597701149424
Ebro,Mequinenza,1193.4195402298851
Ebro,Moneva,2.3371647509578546
Ebro,Monteagudo,4.467432950191571
Ebro,Montearagón,11.846153846153847
Ebro,Nagore,4.6
Ebro,Oliana,58.8448275862069
Ebro,Pajares,19.337164750957854
Ebro,Parras (Las),4.0
Ebro,Pena,12.270114942528735
Ebro,"Peña, La",11.553639846743295
Ebro,Puente de Santolea,14.594594594594595
Ebro,Rialb,288.5536398467433
Ebro,Ribarroja,201.3582375478927
Ebro,Sallente,2.0095785440613025
Ebro,San Bartolomé,1.7739463601532568
Ebro,San Lorenzo,9.0
Ebro,San Salvador,119.35384615384615
Ebro,Santa Ana,149.3697318007663
Ebro,Santa María de Belsué,1.9272030651340997
Ebro,Santolea,28.3639846743295
Ebro,Sistema Aguas Limpias,8.657088122605364
Ebro,Sistema Alto Caldarés,7.486590038314176
Ebro,Sistema Capdella,30.0
Ebro,Sistema Escarra,2.992337164750958
Ebro,Sistema Lagos Espot,8.921455938697317
Ebro,Sistema Valle de Arán,11.99808429118774
Ebro,Sobrón,17.68199233716475
Ebro,Sotonera,134.72413793103448
Ebro,Terradets,25.871647509578544
Ebro,Terroba,1.0
Ebro,"Torcas, Las",4.032567049808429
Ebro,"Tranquera, La",49.229885057471265
Ebro,Tremp ó Talárn,147.73563218390805
Ebro,Ullivarri,113.91954022988506
Ebro,Urdalur,4.373563218390805
Ebro,Urdiceto,1.9923371647509578
Ebro,Urrunaga,51.0919540229885
Ebro,Vadiello,11.093869731800766
Ebro,"Val, El",17.779693486590038
Ebro,Valdepatao,0.9384615384615385
Ebro,Yesa,279.5383141762452
